Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
73;21101288670;"Journal of Behavioral Data Science";journal;"25758306, 25741284";"International Society for Data Science and Analytics";No;No;0,836;Q1;7;8;31;419;109;31;4,26;52,38;33,33;0;United States;Northern America;"International Society for Data Science and Analytics";"2021-2025";"Applied Mathematics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)";"Mathematics"
74;21100415545;"International Journal for Uncertainty Quantification";journal;"21525080, 21525099";"Begell House Inc.";No;No;0,834;Q2;31;23;72;938;140;72;1,55;40,78;20,78;0;United States;Northern America;"Begell House Inc.";"2014-2025";"Control and Optimization (Q1); Discrete Mathematics and Combinatorics (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q2)";"Mathematics"
75;144935;"Statistical Modelling";journal;"1471082X";"SAGE Publications Ltd";No;No;0,830;Q2;53;40;81;1447;138;75;1,80;36,18;31,73;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
76;19372;"Quality and Quantity";journal;"00335177, 15737845";"Springer Netherlands";No;No;0,828;Q2;92;592;788;37266;3798;780;3,37;62,95;39,76;3;Netherlands;Western Europe;"Springer Netherlands";"1967-2026";"Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q2)";"Mathematics; Social Sciences"
77;21100797724;"Journal of Survey Statistics and Methodology";journal;"23250992, 23250984";"Oxford University Press";No;No;0,824;Q2;29;27;184;1052;336;182;1,88;38,96;47,06;2;United States;Northern America;"Oxford University Press";"2013-2025";"Applied Mathematics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Social Sciences"
78;23614;"Statistics and Computing";journal;"09603174, 15731375";"Springer Netherlands";No;No;0,824;Q2;94;219;467;9232;914;467;1,92;42,16;33,21;0;Netherlands;Western Europe;"Springer Netherlands";"1991-2026";"Computational Theory and Mathematics (Q1); Theoretical Computer Science (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics"
79;21100927405;"Advances in Statistical Climatology, Meteorology and Oceanography";journal;"23643587, 23643579";"Copernicus Publications";Yes;Yes;0,814;Q2;11;12;30;754;69;30;2,67;62,83;35,90;0;Germany;Western Europe;"Copernicus Publications";"2019-2026";"Applied Mathematics (Q1); Oceanography (Q1); Atmospheric Science (Q2); Statistics and Probability (Q2)";"Earth and Planetary Sciences; Mathematics"
80;20043;"Scandinavian Actuarial Journal";journal;"03461238, 16512030";"Taylor and Francis Ltd.";No;No;0,804;Q2;48;64;122;2388;229;122;1,93;37,31;33,56;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1918-2026";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
81;14072;"Scandinavian Journal of Statistics";journal;"14679469, 03036898";"Wiley-Blackwell Publishing Ltd";No;No;0,786;Q2;75;75;213;3061;274;203;1,22;40,81;26,06;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
82;21100923463;"Statistical Theory and Related Fields";journal;"24754277, 24754269";"Routledge";Yes;Yes;0,785;Q2;10;25;84;672;155;84;2,49;26,88;35,00;0;United States;Northern America;"Routledge";"2017-2026";"Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics"
83;28500;"Journal of Complexity";journal;"0885064X, 10902708";"Academic Press Inc.";No;No;0,754;Q2;59;39;126;1335;235;125;1,84;34,23;15,00;0;United States;Northern America;"Academic Press Inc.";"1985-2026";"Algebra and Number Theory (Q1); Control and Optimization (Q1); Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1); Applied Mathematics (Q2); Statistics and Probability (Q2)";"Mathematics"
84;21100204917;"Statistics Education Research Journal";journal;"15701824";"International Association for Statistical Education";Yes;No;0,736;Q2;24;12;75;559;125;66;1,06;46,58;60,00;0;Netherlands;Western Europe;"International Association for Statistical Education";"2011-2025";"Education (Q1); Statistics and Probability (Q2)";"Mathematics; Social Sciences"
85;13533;"Journal of the Royal Statistical Society. Series C: Applied Statistics";journal;"00359254, 14679876";"Oxford University Press";No;No;0,734;Q2;85;74;237;3029;362;220;1,42;40,93;35,47;0;United Kingdom;Western Europe;"Oxford University Press";"1981, 1983-1991, 1993, 1996-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
86;18400156705;"Set-Valued and Variational Analysis";journal;"18770541, 18770533";"Springer Verlag";No;No;0,719;Q2;50;49;139;1692;177;137;1,03;34,53;20,45;0;Germany;Western Europe;"Springer Verlag";"2009-2026";"Analysis (Q1); Applied Mathematics (Q2); Geometry and Topology (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics"
87;4000152132;"International Journal of Biostatistics";journal;"15574679";"Walter de Gruyter GmbH";No;No;0,715;Q2;49;28;104;937;177;102;1,50;33,46;36,59;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2005-2026";"Medicine (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics; Medicine"
88;21101020132;"Fractal and Fractional";journal;"25043110";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,714;Q2;55;826;2386;35142;8495;2364;3,83;42,54;28,92;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2017-2026";"Analysis (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
89;24562;"Mathematical Biosciences";journal;"00255564, 18793134";"Elsevier Inc.";No;No;0,703;Q2;118;130;277;6680;665;275;2,41;51,38;34,96;0;United States;Northern America;"Elsevier Inc.";"1967-2026";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
90;19600157009;"North American Actuarial Journal";journal;"10920277";"Taylor and Francis Ltd.";No;No;0,703;Q2;55;55;110;2575;188;106;1,80;46,82;28,47;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2026";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
91;5200152822;"Advances in Data Analysis and Classification";journal;"18625347, 18625355";"Springer Science and Business Media Deutschland GmbH";No;No;0,699;Q2;45;65;137;2732;282;125;2,11;42,03;34,83;1;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2007-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
92;23035;"Journal of Biopharmaceutical Statistics";journal;"10543406, 15205711";"Taylor and Francis Ltd.";No;No;0,680;Q2;60;144;216;4335;313;200;1,26;30,10;41,95;0;United States;Northern America;"Taylor and Francis Ltd.";"1991-2026";"Pharmacology (Q2); Pharmacology (medical) (Q2); Statistics and Probability (Q2)";"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
93;21100855841;"Physical Review E";journal;"24700045, 24700053";"American Physical Society";No;No;0,679;Q2;277;1956;5130;106720;12464;5112;2,40;54,56;19,42;0;United States;Northern America;"American Physical Society";"1993-2004, 2009, 2012, 2016-2026";"Condensed Matter Physics (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
94;21101049065;"International Journal of Interactive Multimedia and Artificial Intelligence";journal;"19891660";"Universidad Internacional de la Rioja";Yes;Yes;0,678;Q2;31;59;185;2648;717;173;5,12;44,88;35,86;0;Spain;Western Europe;"Universidad Internacional de la Rioja";"2019-2025";"Artificial Intelligence (Q2); Computer Networks and Communications (Q2); Computer Science Applications (Q2); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
95;12441;"Open Systems and Information Dynamics";journal;"17937191, 12301612";"World Scientific";No;No;0,674;Q2;37;17;66;571;105;61;1,30;33,59;15,38;0;Singapore;Asiatic Region;"World Scientific";"1992-1995, 1997-2025";"Computational Mechanics (Q1); Fluid Flow and Transfer Processes (Q1); Information Systems (Q2); Mathematical Physics (Q2); Mechanics of Materials (Q2); Physical and Theoretical Chemistry (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Chemical Engineering; Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
96;21100446929;"European Actuarial Journal";journal;"21909741, 21909733";"Springer International Publishing AG";No;No;0,671;Q2;24;43;104;1356;171;84;1,51;31,53;22,89;1;Switzerland;Western Europe;"Springer International Publishing AG";"2011-2026";"Economics and Econometrics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
97;14233;"Statistical Papers";journal;"09325026, 16139798";"Springer New York";Yes;No;0,670;Q2;54;157;380;5534;611;379;1,53;35,25;30,05;0;United States;Northern America;"Springer New York";"1983, 1988-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
98;26386;"Electronic Communications in Probability";journal;"1083589X";"Institute of Mathematical Statistics";Yes;No;0,666;Q2;41;90;204;1787;158;204;0,74;19,86;15,29;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
99;12136;"Journal of Statistical Planning and Inference";journal;"03783758";"Elsevier B.V.";No;No;0,657;Q2;93;61;231;2060;262;230;1,14;33,77;30,99;0;Netherlands;Western Europe;"Elsevier B.V.";"1977-2026";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
100;21101150412;"Computational Journal of Mathematical and Statistical Sciences";journal;"29743435, 29743443";"";Yes;No;0,652;Q2;14;29;41;1137;179;41;4,43;39,21;27,03;0;Egypt;Africa/Middle East;"";"2022-2025";"Computational Mathematics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
101;21101280286;"Environmental Data Science";journal;"26344602";"Cambridge University Press";Yes;No;0,652;Q2;11;67;99;3873;298;95;2,65;57,81;26,95;3;United Kingdom;Western Europe;"Cambridge University Press";"2022-2026";"Artificial Intelligence (Q2); Environmental Science (miscellaneous) (Q2); Statistics and Probability (Q2); Global and Planetary Change (Q3)";"Computer Science; Environmental Science; Mathematics"
102;23213;"Annals of the Institute of Statistical Mathematics";journal;"00203157, 15729052";"Springer Netherlands";No;No;0,650;Q2;54;53;118;1899;149;115;1,31;35,83;29,17;0;Netherlands;Western Europe;"Springer Netherlands";"1949-1957, 1959-2026";"Statistics and Probability (Q2)";"Mathematics"
103;21100886542;"Journal of Management Analytics";journal;"23270039, 23270012";"Taylor and Francis Ltd.";No;No;0,649;Q2;41;37;80;2559;410;80;5,65;69,16;30,85;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Business, Management and Accounting (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
104;29115;"Physica A: Statistical Mechanics and its Applications";journal;"03784371";"Elsevier B.V.";No;No;0,647;Q2;202;697;2466;34045;8811;2434;3,59;48,85;30,68;0;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Condensed Matter Physics (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
105;25957;"ESAIM - Probability and Statistics";journal;"12928100, 12623318";"EDP Sciences";No;No;0,646;Q2;33;15;60;437;64;60;0,95;29,13;36,36;0;France;Western Europe;"EDP Sciences";"1997-2026";"Statistics and Probability (Q2)";"Mathematics"
106;28893;"Canadian Journal of Statistics";journal;"03195724, 1708945X";"Wiley-Blackwell";No;No;0,645;Q2;60;53;176;2111;224;171;1,28;39,83;30,43;1;United States;Northern America;"Wiley-Blackwell";"1973-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
107;21101202000;"Mesopotamian Journal of CyberSecurity";journal;"29586542";"Mesopotamian Academic Press";No;No;0,642;Q2;18;68;57;3326;413;55;7,61;48,91;29,90;0;Iraq;Middle East;"Mesopotamian Academic Press";"2021-2025";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Information Systems (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
108;21564;"Environmetrics";journal;"1099095X, 11804009";"John Wiley and Sons Ltd";No;No;0,639;Q2;73;77;148;3525;300;140;1,61;45,78;36,12;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2026";"Ecological Modeling (Q2); Statistics and Probability (Q2)";"Environmental Science; Mathematics"
109;21101065510;"Data-Centric Engineering";journal;"26326736";"Cambridge University Press";Yes;No;0,638;Q2;19;54;106;3303;401;106;3,47;61,17;18,52;0;United Kingdom;Western Europe;"Cambridge University Press";"2020-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Computer Science; Engineering; Mathematics"
110;145213;"Extremes";journal;"13861999, 1572915X";"Springer";No;No;0,629;Q2;40;28;69;1129;143;67;2,54;40,32;25,35;0;United States;Northern America;"Springer";"2001, 2004-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Engineering; Mathematics"
111;21101053588;"SMAI Journal of Computational Mathematics";journal;"24268399";"SMAI French Society for Applied and Industrial Mathematics";Yes;Yes;0,628;Q2;17;20;38;842;46;38;0,96;42,10;15,79;0;France;Western Europe;"SMAI French Society for Applied and Industrial Mathematics";"2015-2025";"Computational Mathematics (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics"
112;14882;"Test";journal;"11330686, 18638260";"Springer New York";No;No;0,622;Q2;54;51;172;1902;222;151;1,24;37,29;22,88;0;United States;Northern America;"Springer New York";"1988, 1992-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
113;21100231200;"Alea";journal;"19800436";"Instituto Nacional de Matematica Pura e Aplicada";Yes;No;0,619;Q2;21;53;205;1387;144;205;0,60;26,17;19,78;0;Brazil;Latin America;"Instituto Nacional de Matematica Pura e Aplicada";"2011-2026";"Statistics and Probability (Q2)";"Mathematics"
114;20642;"Empirical Economics";journal;"14358921, 03777332";"Physica-Verlag";No;No;0,617;Q2;78;208;590;11517;1577;587;2,28;55,37;27,86;17;Germany;Western Europe;"Physica-Verlag";"1976-2026";"Social Sciences (miscellaneous) (Q1); Economics and Econometrics (Q2); Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
115;21101081515;"Researches in Mathematics";journal;"26645009, 26644991";"Oles Honchar Dnipro National University";Yes;No;0,617;Q2;6;28;57;624;61;57;1,20;22,29;29,55;0;Ukraine;Eastern Europe;"Oles Honchar Dnipro National University";"2019-2025";"Algebra and Number Theory (Q1); Analysis (Q2); Mathematical Physics (Q2); Statistics and Probability (Q2)";"Mathematics"
116;21100898991;"Modern Stochastics: Theory and Applications";journal;"23516046, 23516054";"VTeX";Yes;Yes;0,598;Q2;9;25;66;634;66;66;1,02;25,36;20,83;0;Lithuania;Eastern Europe;"VTeX";"2018-2025";"Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
117;5700165208;"Journal of Physics A: Mathematical and Theoretical";journal;"17518113, 17518121";"IOP Publishing Ltd.";No;No;0,595;Q2;178;460;1732;23345;3484;1721;1,88;50,75;15,79;0;United Kingdom;Western Europe;"IOP Publishing Ltd.";"2007-2025";"Mathematical Physics (Q2); Modeling and Simulation (Q2); Physics and Astronomy (miscellaneous) (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
118;21101121584;"Review of Economics and Political Science";journal;"26313561, 23569980";"Emerald Publishing";Yes;No;0,595;Q2;19;40;80;2221;324;80;3,61;55,53;54,55;0;United Kingdom;Western Europe;"Emerald Publishing";"2018-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
119;21100829708;"Annales de l'Institut Henri Poincare (D) Combinatorics, Physics and their Interactions";journal;"23085835, 23085827";"European Mathematical Society Publishing House";Yes;Yes;0,588;Q2;17;20;50;667;75;50;1,70;33,35;15,00;0;Germany;Western Europe;"European Mathematical Society Publishing House";"2014-2025";"Algebra and Number Theory (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Statistical and Nonlinear Physics (Q2); Statistics and Probability (Q2)";"Mathematics; Physics and Astronomy"
120;28501;"Journal of Mathematical Imaging and Vision";journal;"09249907, 15737683";"Springer Netherlands";No;No;0,583;Q2;86;62;159;2864;373;155;2,32;46,19;22,16;0;Netherlands;Western Europe;"Springer Netherlands";"1992-2026";"Applied Mathematics (Q2); Computer Vision and Pattern Recognition (Q2); Condensed Matter Physics (Q2); Geometry and Topology (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics; Physics and Astronomy"
121;19124;"Queueing Systems";journal;"15729443, 02570130";"Springer Netherlands";No;No;0,581;Q2;61;30;208;830;160;97;1,05;27,67;33,33;0;Netherlands;Western Europe;"Springer Netherlands";"1986-2026";"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
122;21100901158;"EURO Journal on Decision Processes";journal;"21939446, 21939438";"Elsevier B.V.";Yes;No;0,578;Q2;23;5;39;239;115;36;3,17;47,80;27,27;0;Germany;Western Europe;"Elsevier B.V.";"2013-2026";"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Mathematics (Q2); Decision Sciences (miscellaneous) (Q2); Statistics and Probability (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
123;11800154594;"AStA Advances in Statistical Analysis";journal;"1863818X, 18638171";"Springer Verlag";No;No;0,576;Q2;36;40;100;1538;190;97;1,99;38,45;42,72;1;Germany;Western Europe;"Springer Verlag";"2008-2026";"Social Sciences (miscellaneous) (Q1); Analysis (Q2); Applied Mathematics (Q2); Economics and Econometrics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
124;21100200822;"Pakistan Journal of Statistics and Operation Research";journal;"22205810, 18162711";"University of Punjab (new Campus)";Yes;No;0,575;Q2;32;29;154;1192;414;154;2,84;41,10;30,67;0;Pakistan;Asiatic Region;"University of Punjab (new Campus)";"2011-2025";"Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
125;19700177406;"Dynamic Games and Applications";journal;"21530785, 21530793";"Springer Nature";No;No;0,563;Q2;33;124;166;5111;328;159;1,56;41,22;20,15;0;United States;Northern America;"Springer Nature";"2011-2026";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Economics and Econometrics (Q2); Statistics and Probability (Q2)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
126;21100941752;"Advanced Theory and Simulations";journal;"25130390";"Wiley-VCH Verlag";No;No;0,556;Q2;53;346;653;19009;2097;650;3,25;54,94;26,13;0;Germany;Western Europe;"Wiley-VCH Verlag";"2018-2026";"Multidisciplinary (Q1); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics and Probability (Q2)";"Mathematics; Multidisciplinary"
127;23978;"Journal of Theoretical Probability";journal;"15729230, 08949840";"Springer New York";No;No;0,552;Q2;46;86;312;2340;331;312;0,88;27,21;24,71;0;United States;Northern America;"Springer New York";"1988-2026";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
128;29663;"Journal of Theoretical Biology";journal;"10958541, 00225193";"Academic Press";No;No;0,550;Q2;184;150;572;8168;1094;568;1,83;54,45;31,60;0;United States;Northern America;"Academic Press";"1961-2026";"Agricultural and Biological Sciences (miscellaneous) (Q2); Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine"
129;14785;"Statistics";journal;"02331888, 10294910";"Taylor and Francis Ltd.";No;No;0,546;Q2;44;94;199;3144;279;198;1,48;33,45;34,21;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
130;12119;"Journal of Applied Statistics";journal;"02664763, 13600532";"Routledge";No;No;0,527;Q2;75;221;545;8306;989;523;1,60;37,58;34,56;1;United Kingdom;Western Europe;"Routledge";"1970-1971, 1973-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
131;12837;"Metrika";journal;"1435926X, 00261335";"Springer Verlag";No;No;0,527;Q2;50;70;124;2019;164;124;1,37;28,84;28,95;0;Germany;Western Europe;"Springer Verlag";"1958-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
132;21101080473;"Information Geometry";journal;"2511249X, 25112481";"Springer Nature";No;No;0,526;Q2;12;32;93;985;93;90;0,79;30,78;10,87;0;Singapore;Asiatic Region;"Springer Nature";"2018-2026";"Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Geometry and Topology (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
133;28930;"Computational Statistics";journal;"16139658, 09434062";"Springer Science and Business Media Deutschland GmbH";No;No;0,524;Q2;58;210;340;7852;626;335;1,77;37,39;30,19;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1996-2026";"Computational Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
134;23559;"Journal of Statistical Computation and Simulation";journal;"15635163, 00949655";"Taylor and Francis Ltd.";No;No;0,515;Q2;74;197;517;7246;843;517;1,56;36,78;32,04;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2026";"Applied Mathematics (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
135;21101066160;"Mathematical Sciences";journal;"22517456, 20081359";"Springer Nature";No;No;0,515;Q2;31;0;132;0;291;132;2,60;0,00;0,00;0;Germany;Western Europe;"Springer Nature";"2012-2024";"Analysis (Q2); Applied Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2); Numerical Analysis (Q2); Signal Processing (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
136;14188;"Statistica Neerlandica";journal;"00390402, 14679574";"Wiley-Blackwell Publishing Ltd";No;No;0,513;Q2;45;38;92;1177;115;84;0,96;30,97;26,67;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946, 1948-2026";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
137;16900154710;"Statistical Analysis and Data Mining";journal;"19321864, 19321872";"John Wiley and Sons Inc";No;No;0,511;Q2;42;50;158;1758;395;157;1,32;35,16;34,09;0;United States;Northern America;"John Wiley and Sons Inc";"2008-2026";"Analysis (Q2); Computer Science Applications (Q2); Information Systems (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Computer Science; Decision Sciences; Mathematics"
138;26928;"Stochastic Analysis and Applications";journal;"15329356, 07362994";"Taylor and Francis Ltd.";No;No;0,508;Q2;45;30;154;948;178;154;1,17;31,60;25,37;0;United States;Northern America;"Taylor and Francis Ltd.";"1983-2026";"Applied Mathematics (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Decision Sciences; Mathematics"
139;24568;"Advances in Applied Probability";journal;"00018678, 14756064";"Cambridge University Press";No;No;0,506;Q2;67;73;126;2565;123;126;0,99;35,14;23,72;0;United Kingdom;Western Europe;"Cambridge University Press";"1969-1971, 1973-1976, 1980, 1983-1988, 1990, 1992-1993, 1995-2026";"Applied Mathematics (Q2); Statistics and Probability (Q2)";"Mathematics"
140;15654;"Journal of Agricultural, Biological, and Environmental Statistics";journal;"10857117, 15372693";"Springer";No;No;0,500;Q2;61;83;149;3838;225;144;1,21;46,24;36,74;1;United States;Northern America;"Springer";"1996-2026";"Agricultural and Biological Sciences (miscellaneous) (Q2); Applied Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q2)";"Agricultural and Biological Sciences; Decision Sciences; Environmental Science; Mathematics"
141;21100202933;"Teaching Statistics";journal;"14679639, 0141982X";"Wiley-Blackwell";No;No;0,496;Q2;21;39;67;993;105;59;1,57;25,46;43,90;0;United States;Northern America;"Wiley-Blackwell";"1979-2026";"Education (Q2); Statistics and Probability (Q2)";"Mathematics; Social Sciences"
142;23838;"Journal of Applied Probability";journal;"14756072, 00219002";"Cambridge University Press";No;No;0,494;Q2;67;107;231;3091;205;231;0,75;28,89;21,10;0;United Kingdom;Western Europe;"Cambridge University Press";"1975-2026";"Mathematics (miscellaneous) (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
143;21101027245;"Journal of Statistical Theory and Applications";journal;"15387887, 22141766";"Springer Science and Business Media B.V.";Yes;No;0,493;Q2;14;49;53;1892;168;53;3,78;38,61;30,43;0;France;Western Europe;"Springer Science and Business Media B.V.";"2019-2026";"Applied Mathematics (Q2); Computer Science Applications (Q2); Statistics and Probability (Q2)";"Computer Science; Mathematics"
144;8600153118;"Mathematics and Financial Economics";journal;"18629660, 18629679";"Springer Science and Business Media Deutschland GmbH";No;No;0,489;Q2;32;38;74;1358;95;73;1,18;35,74;25,56;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2007-2026";"Finance (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
